PC  Teal                                                            Stack
1   #pragma version 8
10  byte ""                                                         0x
12  callsub test_self_ref_phi                                       0x
129 proto 0 1                                                       0x
132 int 1                                                           0x, 1
133 frame_dig 0                                                     0x, 1, 1
135 int 100                                                         0x, 1, 1, 100
136 <                                                               0x, 1, 1
137 bz test_self_ref_phi_after_while@7                              0x, 1
140 frame_dig 0                                                     0x, 1, 1
142 int 105                                                         0x, 1, 1, 105
144 %                                                               0x, 1, 1
145 !                                                               0x, 1, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 1
152 frame_dig 0                                                     0x, 1, 1
154 int 21                                                          0x, 1, 1, 21
156 %                                                               0x, 1, 1
157 bz test_self_ref_phi_after_while@7                              0x, 1
160 frame_dig 0                                                     0x, 1, 1
162 int 1                                                           0x, 1, 1, 1
163 +                                                               0x, 1, 2
164 frame_bury 0                                                    0x, 2
166 b test_self_ref_phi_while_top@1                                 0x, 2
133 frame_dig 0                                                     0x, 2, 2
135 int 100                                                         0x, 2, 2, 100
136 <                                                               0x, 2, 1
137 bz test_self_ref_phi_after_while@7                              0x, 2
140 frame_dig 0                                                     0x, 2, 2
142 int 105                                                         0x, 2, 2, 105
144 %                                                               0x, 2, 2
145 !                                                               0x, 2, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 2
152 frame_dig 0                                                     0x, 2, 2
154 int 21                                                          0x, 2, 2, 21
156 %                                                               0x, 2, 2
157 bz test_self_ref_phi_after_while@7                              0x, 2
160 frame_dig 0                                                     0x, 2, 2
162 int 1                                                           0x, 2, 2, 1
163 +                                                               0x, 2, 3
164 frame_bury 0                                                    0x, 3
166 b test_self_ref_phi_while_top@1                                 0x, 3
133 frame_dig 0                                                     0x, 3, 3
135 int 100                                                         0x, 3, 3, 100
136 <                                                               0x, 3, 1
137 bz test_self_ref_phi_after_while@7                              0x, 3
140 frame_dig 0                                                     0x, 3, 3
142 int 105                                                         0x, 3, 3, 105
144 %                                                               0x, 3, 3
145 !                                                               0x, 3, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 3
152 frame_dig 0                                                     0x, 3, 3
154 int 21                                                          0x, 3, 3, 21
156 %                                                               0x, 3, 3
157 bz test_self_ref_phi_after_while@7                              0x, 3
160 frame_dig 0                                                     0x, 3, 3
162 int 1                                                           0x, 3, 3, 1
163 +                                                               0x, 3, 4
164 frame_bury 0                                                    0x, 4
166 b test_self_ref_phi_while_top@1                                 0x, 4
133 frame_dig 0                                                     0x, 4, 4
135 int 100                                                         0x, 4, 4, 100
136 <                                                               0x, 4, 1
137 bz test_self_ref_phi_after_while@7                              0x, 4
140 frame_dig 0                                                     0x, 4, 4
142 int 105                                                         0x, 4, 4, 105
144 %                                                               0x, 4, 4
145 !                                                               0x, 4, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 4
152 frame_dig 0                                                     0x, 4, 4
154 int 21                                                          0x, 4, 4, 21
156 %                                                               0x, 4, 4
157 bz test_self_ref_phi_after_while@7                              0x, 4
160 frame_dig 0                                                     0x, 4, 4
162 int 1                                                           0x, 4, 4, 1
163 +                                                               0x, 4, 5
164 frame_bury 0                                                    0x, 5
166 b test_self_ref_phi_while_top@1                                 0x, 5
133 frame_dig 0                                                     0x, 5, 5
135 int 100                                                         0x, 5, 5, 100
136 <                                                               0x, 5, 1
137 bz test_self_ref_phi_after_while@7                              0x, 5
140 frame_dig 0                                                     0x, 5, 5
142 int 105                                                         0x, 5, 5, 105
144 %                                                               0x, 5, 5
145 !                                                               0x, 5, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 5
152 frame_dig 0                                                     0x, 5, 5
154 int 21                                                          0x, 5, 5, 21
156 %                                                               0x, 5, 5
157 bz test_self_ref_phi_after_while@7                              0x, 5
160 frame_dig 0                                                     0x, 5, 5
162 int 1                                                           0x, 5, 5, 1
163 +                                                               0x, 5, 6
164 frame_bury 0                                                    0x, 6
166 b test_self_ref_phi_while_top@1                                 0x, 6
133 frame_dig 0                                                     0x, 6, 6
135 int 100                                                         0x, 6, 6, 100
136 <                                                               0x, 6, 1
137 bz test_self_ref_phi_after_while@7                              0x, 6
140 frame_dig 0                                                     0x, 6, 6
142 int 105                                                         0x, 6, 6, 105
144 %                                                               0x, 6, 6
145 !                                                               0x, 6, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 6
152 frame_dig 0                                                     0x, 6, 6
154 int 21                                                          0x, 6, 6, 21
156 %                                                               0x, 6, 6
157 bz test_self_ref_phi_after_while@7                              0x, 6
160 frame_dig 0                                                     0x, 6, 6
162 int 1                                                           0x, 6, 6, 1
163 +                                                               0x, 6, 7
164 frame_bury 0                                                    0x, 7
166 b test_self_ref_phi_while_top@1                                 0x, 7
133 frame_dig 0                                                     0x, 7, 7
135 int 100                                                         0x, 7, 7, 100
136 <                                                               0x, 7, 1
137 bz test_self_ref_phi_after_while@7                              0x, 7
140 frame_dig 0                                                     0x, 7, 7
142 int 105                                                         0x, 7, 7, 105
144 %                                                               0x, 7, 7
145 !                                                               0x, 7, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 7
152 frame_dig 0                                                     0x, 7, 7
154 int 21                                                          0x, 7, 7, 21
156 %                                                               0x, 7, 7
157 bz test_self_ref_phi_after_while@7                              0x, 7
160 frame_dig 0                                                     0x, 7, 7
162 int 1                                                           0x, 7, 7, 1
163 +                                                               0x, 7, 8
164 frame_bury 0                                                    0x, 8
166 b test_self_ref_phi_while_top@1                                 0x, 8
133 frame_dig 0                                                     0x, 8, 8
135 int 100                                                         0x, 8, 8, 100
136 <                                                               0x, 8, 1
137 bz test_self_ref_phi_after_while@7                              0x, 8
140 frame_dig 0                                                     0x, 8, 8
142 int 105                                                         0x, 8, 8, 105
144 %                                                               0x, 8, 8
145 !                                                               0x, 8, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 8
152 frame_dig 0                                                     0x, 8, 8
154 int 21                                                          0x, 8, 8, 21
156 %                                                               0x, 8, 8
157 bz test_self_ref_phi_after_while@7                              0x, 8
160 frame_dig 0                                                     0x, 8, 8
162 int 1                                                           0x, 8, 8, 1
163 +                                                               0x, 8, 9
164 frame_bury 0                                                    0x, 9
166 b test_self_ref_phi_while_top@1                                 0x, 9
133 frame_dig 0                                                     0x, 9, 9
135 int 100                                                         0x, 9, 9, 100
136 <                                                               0x, 9, 1
137 bz test_self_ref_phi_after_while@7                              0x, 9
140 frame_dig 0                                                     0x, 9, 9
142 int 105                                                         0x, 9, 9, 105
144 %                                                               0x, 9, 9
145 !                                                               0x, 9, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 9
152 frame_dig 0                                                     0x, 9, 9
154 int 21                                                          0x, 9, 9, 21
156 %                                                               0x, 9, 9
157 bz test_self_ref_phi_after_while@7                              0x, 9
160 frame_dig 0                                                     0x, 9, 9
162 int 1                                                           0x, 9, 9, 1
163 +                                                               0x, 9, 10
164 frame_bury 0                                                    0x, 10
166 b test_self_ref_phi_while_top@1                                 0x, 10
133 frame_dig 0                                                     0x, 10, 10
135 int 100                                                         0x, 10, 10, 100
136 <                                                               0x, 10, 1
137 bz test_self_ref_phi_after_while@7                              0x, 10
140 frame_dig 0                                                     0x, 10, 10
142 int 105                                                         0x, 10, 10, 105
144 %                                                               0x, 10, 10
145 !                                                               0x, 10, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 10
152 frame_dig 0                                                     0x, 10, 10
154 int 21                                                          0x, 10, 10, 21
156 %                                                               0x, 10, 10
157 bz test_self_ref_phi_after_while@7                              0x, 10
160 frame_dig 0                                                     0x, 10, 10
162 int 1                                                           0x, 10, 10, 1
163 +                                                               0x, 10, 11
164 frame_bury 0                                                    0x, 11
166 b test_self_ref_phi_while_top@1                                 0x, 11
133 frame_dig 0                                                     0x, 11, 11
135 int 100                                                         0x, 11, 11, 100
136 <                                                               0x, 11, 1
137 bz test_self_ref_phi_after_while@7                              0x, 11
140 frame_dig 0                                                     0x, 11, 11
142 int 105                                                         0x, 11, 11, 105
144 %                                                               0x, 11, 11
145 !                                                               0x, 11, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 11
152 frame_dig 0                                                     0x, 11, 11
154 int 21                                                          0x, 11, 11, 21
156 %                                                               0x, 11, 11
157 bz test_self_ref_phi_after_while@7                              0x, 11
160 frame_dig 0                                                     0x, 11, 11
162 int 1                                                           0x, 11, 11, 1
163 +                                                               0x, 11, 12
164 frame_bury 0                                                    0x, 12
166 b test_self_ref_phi_while_top@1                                 0x, 12
133 frame_dig 0                                                     0x, 12, 12
135 int 100                                                         0x, 12, 12, 100
136 <                                                               0x, 12, 1
137 bz test_self_ref_phi_after_while@7                              0x, 12
140 frame_dig 0                                                     0x, 12, 12
142 int 105                                                         0x, 12, 12, 105
144 %                                                               0x, 12, 12
145 !                                                               0x, 12, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 12
152 frame_dig 0                                                     0x, 12, 12
154 int 21                                                          0x, 12, 12, 21
156 %                                                               0x, 12, 12
157 bz test_self_ref_phi_after_while@7                              0x, 12
160 frame_dig 0                                                     0x, 12, 12
162 int 1                                                           0x, 12, 12, 1
163 +                                                               0x, 12, 13
164 frame_bury 0                                                    0x, 13
166 b test_self_ref_phi_while_top@1                                 0x, 13
133 frame_dig 0                                                     0x, 13, 13
135 int 100                                                         0x, 13, 13, 100
136 <                                                               0x, 13, 1
137 bz test_self_ref_phi_after_while@7                              0x, 13
140 frame_dig 0                                                     0x, 13, 13
142 int 105                                                         0x, 13, 13, 105
144 %                                                               0x, 13, 13
145 !                                                               0x, 13, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 13
152 frame_dig 0                                                     0x, 13, 13
154 int 21                                                          0x, 13, 13, 21
156 %                                                               0x, 13, 13
157 bz test_self_ref_phi_after_while@7                              0x, 13
160 frame_dig 0                                                     0x, 13, 13
162 int 1                                                           0x, 13, 13, 1
163 +                                                               0x, 13, 14
164 frame_bury 0                                                    0x, 14
166 b test_self_ref_phi_while_top@1                                 0x, 14
133 frame_dig 0                                                     0x, 14, 14
135 int 100                                                         0x, 14, 14, 100
136 <                                                               0x, 14, 1
137 bz test_self_ref_phi_after_while@7                              0x, 14
140 frame_dig 0                                                     0x, 14, 14
142 int 105                                                         0x, 14, 14, 105
144 %                                                               0x, 14, 14
145 !                                                               0x, 14, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 14
152 frame_dig 0                                                     0x, 14, 14
154 int 21                                                          0x, 14, 14, 21
156 %                                                               0x, 14, 14
157 bz test_self_ref_phi_after_while@7                              0x, 14
160 frame_dig 0                                                     0x, 14, 14
162 int 1                                                           0x, 14, 14, 1
163 +                                                               0x, 14, 15
164 frame_bury 0                                                    0x, 15
